UV-Spec Model X200
Run date: 2026-03-12
tablet,weight_mg,time_min,absorbance,dilution
1,498,5,0.149,1
1,498,10,0.498,1
1,498,15,0.492,2
1,498,20,N/A,2
1,498,25,0.745,5
1,498,30,0.570,10
1,498,35,0.770,10
1,498,45,0.470,20
1,498,60,0.500,20

2,505,5,0.155,1
2,505,10,0.510,1
2,505,15,-,2
2,505,20,0.910,2
2,505,25,0.760,5
2,505,30,0.585,10
2,505,35,0.785,10
2,505,45,0.485,20
2,505,60,0.515,20
3,492,5,0.145,1
3,492,10,0.485,1
3,492,15,0.480,2
3,,20,0.880,2
3,492,25,0.730,5
3,492,30,0.555,10
3,492,35,0.755,10
3,492,45,0.455,20
3,492,60,0.485,20
