sample_id,volume_ml,pH
A,0,3.02
A,2,3.85
A,4,4.19
A,6,4.37
A,8,4.61
A,10,4.73
A,12,4.91
A,14,5.06
A,16,5.22
A,18,5.33
A,20,5.57
A,22,5.8
A,23,6.07
A,24,6.57
A,24.5,8.73
A,25,11
A,25.5,11.3
A,26,11.46
A,27,11.7
A,28,11.8
A,30,11.96
A,32,12.13
A,34,12.18
A,36,12.32
A,38,12.32
A,40,12.4
B,0,2.97
B,2,3.83
B,4,4.24
B,6,4.43
B,8,4.59
B,10,4.74
B,12,4.9
B,14,5.02
B,16,5.07
B,18,5.33
B,20,5.5
B,22,5.78
B,23,5.99
B,24,6.33
B,24.5,6.58
B,25,8.84
B,25.5,11.01
B,26,11.32
B,27,11.61
B,28,11.77
B,30,11.93
B,32,12.09
B,34,12.2
B,36,12.23
B,38,12.3
B,40,12.38
C,0,2.98
C,2,3.86
C,4,4.16
C,6,4.37
C,8,4.62
C,10,4.73
C,12,4.86
C,14,4.99
C,16,5.1
C,18,5.31
C,20,5.46
C,22,5.7
C,23,5.9
C,24,6.14
C,24.5,6.34
C,25,6.59
C,25.5,8.83
C,26,11.03
C,27,11.43
C,28,11.65
C,30,11.88
C,32,12.01
C,34,12.16
C,36,12.26
C,38,12.33
C,40,12.38
